,0,soja05,maiz05,gruesa05,soja06,maiz06,gruesa06,soja07,maiz07,gruesa07,soja08,maiz08,gruesa08,soja09,maiz09,gruesa09,soja10,maiz10,gruesa10,soja11,maiz11,gruesa11,soja12,maiz12,gruesa12,soja13,maiz13,gruesa13,soja14,maiz14,gruesa14,soja15,maiz15,gruesa15,soja16,maiz16,gruesa16,soja17,maiz17,gruesa17,soja18,maiz18,gruesa18,soja19,maiz19,gruesa19
0,6854,0.33726736268724467,0.18181818181818182,0.25954277225271327,0.3231986672219908,0.0,0.1615993336109954,0.3448136142625608,0.2857142857142857,0.3152639499884232,-0.16259334691106586,0.025840799896117386,-0.06837627350747424,-0.6055668703326544,-0.3670886075949367,-0.48632773896379555,0.11167684996605567,0.0759493670886076,0.09381310852733163,0.07196198234894773,-0.08291139240506329,-0.005474705028057782,-0.142811906269791,-0.3037974683544304,-0.2233046873121107,-0.09373020899303357,0.16883116883116883,0.03755047991906763,-0.10726764500349406,-0.06329113924050633,-0.0852793921220002,0.29774658293313633,0.20270270270270271,0.2502246428179195,0.19566736547868624,0.17567567567567569,0.18567152057718095,0.02311589613679544,0.047058823529411764,0.0350873598331036,-0.4569347688410386,-0.3563218390804598,-0.4066283039607492,-1.0,-1.0,-1.0
1,6014,0.4799405646359584,-0.125,0.1774702823179792,-0.17979197622585438,0.22950819672131148,0.02485811024772855,0.13670133729569092,-0.25,-0.05664933135215454,0.09212481426448738,0.09289617486338798,0.09251049456393767,-0.5429740791268759,-1.0,-0.7714870395634379,0.5716234652114598,-0.14285714285714285,0.21438316117715847,-0.047619047619047616,0.6262857142857143,0.28933333333333333,0.291156462585034,0.11428571428571428,0.20272108843537415,0.01904761904761905,0.5384615384615384,0.27875457875457876,-0.17222963951935916,0.28205128205128205,0.054910821265961446,-0.18231292517006803,0.05,-0.06615646258503402,0.5521428571428572,0.14285714285714285,0.34750000000000003,0.006675567423230975,0.375,0.1908377837116155,-0.18958611481975968,0.14,-0.024793057409879832,-1.0,-1.0,-1.0
2,6021,0.2914529914529915,0.22448979591836735,0.2579713936856794,0.19847036328871892,0.1564625850340136,0.17746647416136627,0.1950286806883365,0.15384615384615385,0.17443741726724518,-0.018530774321641297,-0.125,-0.07176538716082065,-0.7829252150893448,-0.4375,-0.6102126075446723,0.06915949702183984,0.062625,0.06589224851091992,-0.21343481138318995,-0.02588235294117647,-0.11965858216218321,-0.05327597617471873,-0.2,-0.12663798808735938,0.05428186109238031,0.026570048309178744,0.04042595470077953,0.1341874578556979,-0.057971014492753624,0.03810822168147214,0.30984490896830746,0.1794871794871795,0.24466604422774346,0.09689798528941478,0.18357487922705315,0.14023643225823396,0.07582791705354379,0.1411764705882353,0.10850219382088955,-0.42033293697978596,-0.17647058823529413,-0.29840176260754003,-1.0,-1.0,-1.0
3,6028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6077,0.13194681213774292,0.239067055393586,0.18550693376566446,0.203338898163606,-0.008746355685131196,0.09729627123923741,0.0737888995829323,0.4117647058823529,0.24277680273264263,-0.06234939759036145,0.026663111585121985,-0.01784314300261973,-0.6162650602409638,-0.441630957018569,-0.5289480086297664,0.09246987951807228,0.42838592390598623,0.26042790171202923,0.03674698795180723,-0.2516867469879518,-0.10746987951807228,-0.11921123394084254,-0.2728217114660434,-0.19601647270344297,0.0089632506722438,0.3235294117647059,0.16624633121847485,0.07379743053480729,0.06479677963900791,0.0692971050869076,0.20817293455729938,0.2725620049344241,0.24036746974586176,0.07669959325973272,-0.06097560975609756,0.00786199175181758,0.05703951029493601,0.17073170731707318,0.1138856088060046,-0.2938230383973289,-0.10975609756097561,-0.20178956797915223,-1.0,-1.0,-1.0
5,6042,0.22615476904619075,0.06521739130434782,0.1456860801752693,0.218214074512123,0.19630434782608697,0.20725921116910498,0.09675675675675675,0.23404255319148937,0.16539965497412307,-0.14216216216216215,0.04081632653061224,-0.05067291781577496,-0.49891891891891893,-0.35294117647058826,-0.4259300476947536,0.37135135135135133,0.43137254901960786,0.4013619501854796,-0.037456875308033516,0.265,0.11377156234598325,0.0823065549531789,0.2720334363074687,0.1771699956303238,0.18087727944800394,0.41379310344827586,0.2973351914481399,0.3154263183834401,-0.15092958571219442,0.08224836633562284,0.06284153005464481,-0.12165129556433904,-0.029404882754847116,0.07455012853470437,0.06865759039672083,0.0716038594657126,0.11352253756260434,-0.014285714285714285,0.04961841163844503,0.09641068447412354,-0.057971014492753624,0.01921983499068496,-1.0,-1.0,-1.0
6,6049,0.008436724565756825,-0.03636363636363636,-0.01396345589893977,-0.0890748031496063,0.09433962264150944,0.0026324097459515736,0.05610236220472441,0.01818181818181818,0.03714209019327129,-0.37401574803149606,-0.09090909090909091,-0.2324624194702935,-0.5260826771653543,-0.38181818181818183,-0.45395042949176806,0.20694789081885856,0.4716981132075472,0.33932300201320287,0.019851116625310174,0.29392857142857143,0.1568898440269408,0.12106299212598425,0.39285714285714285,0.2569600674915635,-0.09975669099756691,0.20689655172413793,0.05356993036328551,-0.23746958637469587,-0.37142857142857144,-0.30444907890163364,0.09837837837837837,-0.2857142857142857,-0.09366795366795366,0.1466535433070866,-0.15714285714285714,-0.005244656917885268,0.06082725060827251,-0.18571428571428572,-0.0624435175530066,-0.25255474452554744,-0.3559322033898305,-0.30424347395768897,-1.0,-1.0,-1.0
7,6056,,,,,,,,,,,,,,,,,,,,,,,,,,3.2857142857142856,,,-1.0,,,-1.0,,,-1.0,,,3.642857142857143,,,-1.0,,,,
8,6063,-0.11947104423164615,0.0,-0.05973552211582307,-0.21842225262197904,0.07388888888888889,-0.07226668186654507,-0.0729594163246694,-0.05555555555555555,-0.06425748594011248,-0.22872602065912445,0.05555555555555555,-0.08658523255178445,-0.5346778160354156,-0.35714285714285715,-0.44591033658913637,0.21905748316934232,0.46296296296296297,0.34101022306615264,0.02330398757120663,0.3075438596491228,0.1654239236101647,0.044018643190056966,0.10526315789473684,0.0746409005423969,0.08552631578947369,0.32781514054147265,0.20667072816547316,-0.12351190476190477,-0.2698412698412698,-0.1966765873015873,-0.013157894736842105,-0.047619047619047616,-0.03038847117794486,0.25050607287449395,-0.031746031746031744,0.1093800205642311,0.12748015873015872,-0.031746031746031744,0.04786706349206349,0.056051587301587304,0.3114754098360656,0.18376349856882646,-1.0,-1.0,-1.0
9,6070,0.021104467112205417,0.15384615384615385,0.08747531047917964,0.08921805029280055,-0.046153846153846156,0.0215321020694772,0.09582059123343527,0.4307692307692308,0.263294911001333,-0.010727455581629233,-0.17333333333333334,-0.09203039445748129,-0.48797017960013556,-0.4666666666666667,-0.4773184231334011,0.17587258556421553,0.44,0.30793629278210777,0.08641138597085733,-0.2412,-0.07739430701457134,-0.09329538266919671,-0.17709677419354838,-0.13519607843137255,-0.02530044275774826,0.41935483870967744,0.19702719797596457,0.13789746917585982,0.33903225806451615,0.23846486362018798,0.45327709279688516,0.5483870967741935,0.5008320947855394,0.16500311915159077,-0.06046735726331005,0.052267880944140366,0.06311239193083573,0.14430257769212237,0.10370748481147905,-0.3045337895637297,-0.15682967959527824,-0.23068173457950397,-1.0,-1.0,-1.0
