,0,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
0,6854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1718142105896733,0.058400028956125075,0.13687114226187402,0.11052557956572263,0.13891211135707116,0.1968063879124283,0.05058620718883626,0.13293809218109778,-0.09462988567844009,-0.11336844309164615,-0.12039223861853447,-0.18199193824742757,-0.2512299582522886,-0.17472132311777616,-0.3177919359195923,-0.13951257898835565,0.017577847643445003,0.0849876894546872,0.15708565543444003,0.08653703399027397,0.06452043945953763,0.0500164830462377,0.090309286991537,0.1138546326749233,0.20856276034803062,0.07271708302139471,-0.019622041314125413,-0.32900178104116895,-0.13912594508088236,-0.3034705448568935,-0.23733927156945847,-0.2048434510932804,0.024195078363999967,0.0633519600454083,0.03208848173546445,0.06813730557250401,-0.14801711346282978,0.02630886343937128,0.20054283497184366,0.3872906045042616,1.1773658756881669,0.3226794496858705,0.6841028627652636,-0.18488228520080377,-0.17127148850606563,-0.1030753871762066,-0.09085566096901473,-0.23119877426303134,-0.3080321543187542,-0.19216974651350022,-0.3164376277844006,-0.3300412191697378
1,6014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20539139655934313,0.1740279702535595,-0.11345855888142643,-0.0047803590790282905,0.20900524577931898,0.2254215872641544,-0.013496032788051818,0.058910828081301846,-0.032240121483925015,0.11422629939067896,0.037002153408183205,-0.15570117709304193,-0.2413600738555165,-0.0650222706125569,-0.3617442449472964,-0.22931328052372543,-0.1531111809073101,0.20296695881110938,0.11599551354139065,-0.040502269819596405,-0.04781035952050213,-0.036495748072107176,0.09962608607875884,0.1563263932124312,0.40164670117480344,0.07008901083714532,0.25382035168506095,0.11895130182600686,-0.029768409149594048,-0.4613415111579762,-0.11714226371810159,-0.017181321044258797,0.07803547341168207,-0.0777305513185716,-0.14573678878607152,-0.0006252161193892443,-0.032486369137554386,-0.1828419311273957,0.22138245214366256,0.10689356038307853,0.18449324068194659,-0.22131097189221827,0.07018342839761384,-0.4362976870817672,-0.18593515892777682,-0.14475049149037833,-0.383657150971388,-0.45299122117457474,-0.45184869007376427,-0.13016053265811292,-0.27270441765360515,-0.06342560058916649
2,6021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23577059254898472,0.15525008881533336,0.32102941114948974,0.05729518233230792,0.08999455900402935,0.16737315337640474,0.07667286512876598,0.10101741857398545,-0.09412481945782616,-0.12027101589947041,-0.053501557905943804,-0.1751448804539161,-0.2631128181467011,-0.10450948036466669,-0.328832786855289,-0.026707998317833728,-0.0027653752971023874,-0.025512136932307604,0.03983390606439663,0.018772771172952903,0.024670767896137487,-0.020206485413671246,0.014451212354394824,0.10708608284594841,0.1736820758073902,0.06268142790131062,-0.07521109443227296,-0.3061642809929081,-0.07597986383142387,-0.15277340232441192,-0.13315059564932835,-0.1118041770971423,0.06357125034557441,0.14047750131314124,0.04165370192165187,0.06805879760796789,-0.154923970137812,-0.1225681321537292,0.08301447013807228,0.29980772786678156,0.720584065836906,0.24897412134296645,0.45289112397801023,-0.19959988117961058,-0.16272935720228032,-0.12533123226781637,-0.11601531231010859,-0.24091051966372654,-0.3217526060880896,-0.032482703236922934,-0.0638491200149435,-0.15251611535619486
3,6028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02026783885353611,0.04481949107784444,0.4012802829934469,-0.22548748216861375,-0.19314848049197664,0.22641174687893514,0.23741431342439634,0.311110149533833,-0.0874436243874096,-0.04783615121010981,0.1831433648666584,-0.009750179911708446,-0.02011018867570667,0.008159775517556065,-0.1324124662568759,0.04088388295824698,0.38998162548018833,0.022109156802082735,0.04263597804618348,-0.07976301628549268,-0.0007950398779091058,0.01226834524574851,0.009423185704646137,0.1044278370330738,0.2125079091278238,0.017175640862408532,-0.393898366788579,-0.08286340418066475,-0.22097670504970884,-0.26763789627186513,-0.3200574759663769,-0.2159239910317843,0.0827734377411059,0.03556780596436125,-0.20540432060939218,-0.09467765712136586,-0.24380001925966246,-0.06806145796421392,0.1250305500520076,0.2579587315251681,0.7702367793396151,0.21117376838966032,0.3202943092925778,-0.3953372216003406,-0.3059184059505549,-0.09010986695597714,-0.09849440186538258,-0.272558552682811,-0.36285250843544775,-0.29145859298328347,-0.2657523454468251,-0.23890269592616062
5,6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2240597683921097,0.008890635633276425,-0.07123454971088136,-0.22049062151992924,-0.14859104049561264,0.1938105858879588,-0.2240782133936535,0.012207462082628228,-0.2309041111262973,-0.09194939298900483,-0.027870842452456576,-0.16865240725828484,-0.11399249947209827,-0.11423985834816125,-0.28211073585515817,-0.2052564180695432,0.0376819703146649,0.17479613399486482,0.3532587169092091,0.1722504455836009,0.19903324611722964,0.022077660209784356,0.0336167155970277,0.090242865630256,0.22757982707724358,0.13194746878639244,0.11133935505768836,0.016392738999703005,0.09604996613138701,-0.38000734258211616,-0.15598268242804264,-0.1844579076662292,0.020325659452752762,0.07109826945754151,-0.006048287520601025,0.07840954162802923,0.050632929586328715,-0.032610870195095315,0.24200593050835134,0.3977495310360886,0.9247481925900991,-0.19085438674923386,0.11063736099954738,-0.09255817051377557,-0.1330058977487519,-0.21890806701543417,-0.04996616367773057,-0.22947985715600402,-0.35980336938309554,-0.15387940373538267,-0.19189340702748878,0.10737372289392003
6,6049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1871786837177763,-0.07702742058512448,0.03909303498913536,-0.018073683534931596,0.09737319680484843,0.20791933228197101,-0.15129958063582402,0.032220795140839135,-0.09162244805806403,-0.07351096980135884,-0.04901064837499676,-0.17443139443581118,-0.2728659651903047,0.0017684034534807434,-0.31326477015872634,-0.1368628049668005,-0.23220178487976098,0.20680642910711314,0.3366796965756926,0.004840593981415142,-0.009193401554202504,0.042180823791607404,0.08245378662189022,0.14846976374349516,0.3948836850486571,0.15073218878175346,0.058527799835727486,-0.10940654693815938,0.1470002376755189,-0.4466277430343977,-0.21186298964556352,-0.034590629847437014,0.09508944660863758,0.031330146009750794,-0.03567268079668637,0.025961630692316058,-0.009988732587891177,-0.06583135941956476,0.21564393533386325,0.2704318930001074,0.78376363470776,-0.20480987634375808,0.08849058978234725,-0.21960422246422362,-0.18335927141657193,-0.15415862870024696,-0.2334479501135361,-0.3637463789413941,-0.3774798083603698,-0.11835887810747743,-0.21747896764251412,0.005566383451290849
7,6056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06393875930523388,0.1212094783487956,-0.09287382501841718,0.04761740573671285,0.40907981888633166,0.18750417591435523,-0.10177330682544315,0.09713957785165275,0.034377273683673305,0.12832238182196554,0.04344085112333415,-0.05029973668676725,-0.10547658285781952,-0.03065027574114885,-0.12742726785861752,-0.16078831026463902,-0.157648458473239,-0.04575325561498403,0.09467127537812912,0.11326942654083028,-0.14545012392377807,-0.026027487319655245,0.048609624007445146,0.032191285533586744,0.16112433684594105,-0.06760016276105658,-0.036173548913815363,-0.03571128179791371,-0.2000730395580456,-0.15278057770609796,0.007891146052572002,-0.19422223690594984,0.12053745011418152,-0.10229489450231001,-0.10543528697694944,0.018108451153180802,-0.025915980298078685,-0.02940407555875775,0.26556357605598585,0.1473115433261931,0.02051743121039537,-0.4065906917711783,-0.042559175888230015,-0.35248855136551505,-0.09930571299895513,-0.1329477204706281,-0.38101525922837254,-0.43778249825088966,-0.3857350888458922,-0.038260683609908634,-0.21138516500266066,-0.12530897951852288
8,6063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3269914201107039,0.13557717164997857,-0.14794739454228295,-0.334442483153117,-0.010131804964483678,0.07721732886188279,-0.257127034148674,-0.08703912275540758,-0.12436295083423358,0.029196185759438317,0.004509344329898547,-0.20581066318033112,-0.021745954286527702,-0.10286858301117563,-0.283024233743048,-0.2680894581839712,-0.12920322023176053,0.05198308211739121,0.1674931410045942,0.1251351201078132,0.08428794742957169,-0.09304635706928316,0.13754959157842692,0.127750868496266,0.2977736954631567,0.05593999999697171,0.21602081691710875,0.3433073224664692,0.13996826300652432,-0.12548733368517492,0.08407251829689984,-0.040817140020434815,0.032302318977522546,0.059859535602979595,-0.11962857760701114,0.07318105751631107,-0.037185645357146385,-0.09550649416985281,0.2338190936177594,0.2592246188706189,0.3592502406102096,-0.16036103644996028,0.10441337494795341,-0.2557074485774909,-0.16273890236378522,-0.18868699032993477,-0.06665131854485747,-0.25282453063453914,-0.30865948828434453,-0.043188145323886276,-0.19300380373335713,-0.04840975106709116
9,6070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032599908575655237,0.012876900265345033,0.24388626539269792,-0.1560866462054434,-0.08288798898173473,0.35693973705862614,0.34919745682117365,0.39374564085750463,0.04771763591809541,0.016437931148490268,0.2007083462088923,0.07302661906574567,0.10552231549150891,0.0776015902891356,-0.0156284673133924,0.008132282762178726,0.27558455500081497,-0.059665347114667,-0.10645283709261079,-0.11937672739308369,-0.07574787228862093,0.01658833368943729,-0.00774946203013516,0.008839880014050562,0.08580435278824002,-0.0430849098994114,-0.3244590424135233,-0.13908070102632147,-0.20305756464179675,-0.3201416507088794,-0.2774224225469295,-0.25607765256679316,0.031012588615406417,-0.03302626483792722,-0.20582280979067452,-0.08186649907979643,-0.2015181156094177,-0.040386188737640404,0.09620124433421784,0.2859013347909784,0.6329424103936014,0.27187716285193547,0.1423271810838744,-0.3695521245181074,-0.29785531938649645,-0.10682807569217002,-0.10595232374033026,-0.2630476708166542,-0.3116679229645868,-0.1800916763144011,-0.23703403590143501,-0.2557442917098361
